"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Jacobs Franchise Partners","Alexis Marrero","Alexis Marrero","Jacobs Franchise Partners - Jersey Mike's Subs -","Jersey Mike's Subs","New Business","Demo","3564.00","","3","SMB","10/21/2025","2/27/2026","136.0000000000","Self Sourced","","11/18/25: Initial discovery call between Alexis Marrero (Opportunity Owner) and Andy Jacobi from Jacobs Franchise Partners, who is opening their first Jersey Mike?s location in January under a 3-store development agreement. Andy is experienced in restaurants but new to Jersey Mike?s. Discussion confirmed Jacobs Franchise Partners uses R365, which integrates with Loop. Andy asked about current use cases among other Jersey Mike?s franchisees and which modules are most beneficial, noting that Jersey Mike's has a prescriptive tech stack.
Alexis explained Loop?s value proposition?handling chargebacks with a blend of AI (60%) and human intervention (40%), with direct deposit of recovered funds and no percentage fee. Technical/audio issues interrupted part of the call. Follow-up may be needed to provide more detailed information and a recap via email. Andy is interested in maximizing revenue channels, including delivery. Opportunity is at an early stage with potential for future engagement as new stores open.","","Standard","0","0","0","0","0","0","0","0","0"
"Jair Reyes - Domino's 3","Charles Kagahastian","Spencer Epps","Jair Reyes - Domino's 3 - Domino's -","Domino's","New Business","Closed Lost","3564.00","","3","SMB","10/21/2025","3/31/2026","161.0000000000","SDR","","","unresponsive","Standard","1","1","0","1","1","1","1","0","0"
"MESK Investments","Simon Salomon","Spencer Epps","MESK Investments - IHOP - (29)","IHOP","New Business","Closed Lost","34452.00","","29","MM","10/21/2025","3/17/2026","147.0000000000","SDR","","10/22/25: Met with Mohammad Khadar of MESK Investments (owns 29 IHOPs, plus 7 Super Chicks locations) to discuss Loop AI?s offering vs. current usage of Delegate for third-party delivery recovery and reporting. Key points: 25% of IHOP revenue is via third-party delivery, average unit volume ~$2M, Delegate charges 27-28% recovery fee, but Mohammad is more focused on reporting/analytics than just money recovered. Strong interest in flat-fee model ($50-200/unit/month depending on modules), greater recovery potential (Loop goes after full disputable pool, including canceled/missed), and more robust reporting, automation, and operational insights (e.g., golden metrics/leaderboard, POS and bookkeeping integrations).
Mohammad requested time to review internal numbers, discuss with accounting (internally run, managed by spouse), and promised to bring additional decision-makers to a follow-up call. Requested references from other IHOP franchisees; Sun Holdings cited as a current Loop AI client. Next meeting targeted for Oct 31, with action items for both sides (Mohammad to gather internal data; Loop AI to send calendar invite and prep reference material). Potential cross-sell opportunity with Super Chicks brand (higher third-party percentage, also using Delegate). Decision criteria centered around transparency, reporting quality, and total cost of recovery.","He's comfortable with Delaget, has been with them for years and just does not want to invest any time in changing. does not care about getting more money, does not want us to run an analysis for him. will have to be rebooked by an SDR","Standard","0","1","0","1","1","0","0","0","0"
"S&D Restaurants, LLC","Sarra Herlich","Sarra Herlich","S&D Restaurants, LLC - Expansion - McDonald's","McDonald's","Expansion","Closed Won","1788.00","","1","SMB","1/29/2026","1/29/2026","0.0000000000","Expansion","","","","Standard","1","1","0","1","1","1","0","0","0"
"TMR BBQ","Alexis Marrero","Brad Dressler","TMR BBQ -  -","","New Business","New - Meeting Set","1200.00","","2","SMB","10/22/2025","3/31/2026","135.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Bush's Chicken","Alex Reyes","Nick Barbo","Bush's Chicken - Bush's Chicken - 21","Bush's Chicken","New Business","Proposal","75600.00","","21","MM","10/22/2025","3/31/2026","135.0000000000","SDR","","1/13/26: Tony Cain (Bush?s Chicken) attended a full demo on Loop AI?s platform, led by Alex Reyes, with a focus on solving challenges around third-party delivery profitability, operational control, and marketing optimization. Tony manages 21 stores on delivery platforms, with AUV ~$1.3-1.5M, and delivery revenue at 10-12% of total sales. Bush?s Chicken faces issues with flat margins, operational errors (e.g., missing items, downtime), and lack of actionable data for marketing ROI. Currently, reconciliation and accounting are managed in-house (QuickBooks Online, Hunger Rush POS).
Loop AI?s four main offerings?financial reconciliation, customer refund/cancel recovery, store uptime monitoring, and marketing optimization?were presented. Tony expressed interest in all modules and sees clear potential ROI. Meeting outcome: Tony will meet internally and with corporate/marketing before next steps; wants to review a formal proposal, including all four solutions and onboarding details. Follow-up/demo to be scheduled for Tue 1/20. Tony is open to expanding to additional franchise locations if pilot is successful.","","Standard","1","0","0","1","1","0","1","0","0"
"Scott Acarregui- McDonald's","Alexis Marrero","Olivia Johnson","Scott Acarregui- McDonald's - McDonald's -","McDonald's","New Business","New - Meeting Set","0.00","","","Unknown","10/22/2025","3/31/2026","135.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Jeff Poe - Wendy's 6","Charles Kagahastian","Spencer Epps","Jeff Poe - Wendy's 6 - Wendy's -","Wendy's","New Business","Closed Lost","7128.00","","6","SMB","10/22/2025","3/31/2026","160.0000000000","SDR","","","unresponsive","Standard","1","1","0","1","1","1","0","0","0"
"Samuel Organization","Alexis Marrero","Brad Dressler","Samuel Organization - McDonald's -","McDonald's","New Business","Closed Lost","4200.00","","7","SMB","10/22/2025","3/31/2026","160.0000000000","SDR","","1/9/26: Discovery/demo call with McDonald?s franchisee (7 locations, ~$3.7M AUV, ~$2.7M annual delivery revenue). Prospect is interested in understanding Loop?s differentiation vs. other providers, hesitancy around cost vs. value. Key pain points: manual handling of chargebacks, minimal direct third-party marketing, weekly review of chargebacks by managers, manual store downtime management (~97% uptime). Prospect uses a local accounting firm. Loop demo focused on automated chargeback recovery, downtime mitigation, bookkeeping/reconciliation, and operational insights; emphasized automation, consolidation, and visibility. Tiered McDonald?s preferred pricing (~$90?$109/store/mo, $100 onboarding/location) discussed. Prospect interested in piloting on select (higher volume/problematic) stores before broader rollout; requested to speak with current operators. Next steps: Loop to send collateral, pricing, and references. Follow-up to be scheduled by email.
10/23/25: Steve Samuel (operator for seven McDonald?s locations in Atlanta, ~$2.1M in annual delivery sales, 4 stores are 24hr) met with Alexis Marrero and Brad Dressler from the Organization to learn about Loop?s value for delivery operations. Steve currently manages chargebacks/disputes and downtime in-house, with the back office staff manually reviewing and disputing issues each week. Key pain points include high chargebacks, lost delivery sales from downtime (especially as DoorDash is dominant in Atlanta), and lack of systematic review response.
Loop was positioned as automating chargeback disputes (AI+human), downtime protection, review response, and accounting reconciliation, with the potential for a strong ROI (examples given: 2%-5% of $300K delivery sales per store possibly recovered from chargebacks, plus additional revenue saved from downtime minimization). Cost was a primary concern, and Steve requested specifics on guaranteed ROI and referenced the need to discuss with fellow operators and compare current systems. Steve is well-connected (mentioned Anthony Greenwood and the Mullers as references, is product lead in Atlanta for Gamoa), and agreed to consider a trial, but wants to first consult with colleagues. Next step is for Alexis to follow up with pricing, materials, and reconnect after Steve returns next week (after Wed). Steve is interested but needs social proof and more data analysis on his current performance vs. Loop?s potential.","ghost","Standard","0","0","0","1","1","0","0","1","0"
"Texas Subs Inc","Alex Reyes","Tyrell Belle","Texas Subs Inc - 110","","New Business","Closed Lost","130680.00","","110","Ent","10/22/2025","1/28/2026","98.0000000000","SDR","","","Subway is not our ICP - Corp wanted to test our a new marketing process and he went dark","Standard","0","0","0","1","1","0","0","1","0"
"Bonchon Holdings","Alex Reyes","Alex Reyes","Bonchon Holdings - 150","Bonchon","New Business","Closed Lost","178200.00","","150","Ent","10/22/2025","2/24/2026","125.0000000000","Trade Show","RFDC","11/13/25: Bonchon Holdings (Account: Bonchon Holdings - Bonchon) ? Meeting included primary contacts from Bonchon?s accounting team: Hyeji Kwon (Director, corporate and equity store accounting), Taehee Kim (Accounting Director ? royalties/marketing), Phelia W. Tanzman (Senior Accounting Manager), and Cathy Lee (Accounting Specialist). Bonchon operates primarily a franchise model (95?99%), currently has 3 corporate/equity stores but plans to expand.
Key pain points discussed:
- Limited visibility into franchisee accounting and third-party delivery reconciliation
- Manual, time-intensive accounting processes and third-party delivery reconciliation (esp. DoorDash, Uber Eats, Grubhub), leading to small write-offs for variances
- Some overpayment of taxes likely due to refunds/cancellations not syncing with POS (Aloha), and lack of integration for smaller third-party channels
- No current loyalty program; digital ordering via Olo and web (not a full app)
- Digital revenue is ~50% of systemwide sales; heavy investment in digital marketing; varied AUV across stores
- Interest in both improving process for current equity stores and potentially as solution to recommend to franchisees
Loop AI presented value prop: full transaction-level financial reconciliation (POS, third-party, bank), automated journal entries, marketing attribution and ROI analysis, downtime/loss reporting, integration with Aloha, Olo, etc. Interest from Bonchon in marketing analytics and franchisee/individual store marketing spend visibility. Asked for demo materials and possible review of their own data in the platform. Next step: Bonchon to connect internally with marketing & potentially schedule next meeting for a deeper marketing-focused demo and/or to review their own data. Possible NDA for data-sharing.","Not a priority and only 3 corp locations","Standard","1","1","0","1","1","0","0","1","0"
"MESK Investments - Super Chix 7","Simon Salomon","Spencer Epps","MESK Investments - Super Chix 7 - Super Chix -","Super Chix","New Business","Closed Lost","8316.00","","7","SMB","10/22/2025","3/17/2026","146.0000000000","SDR","","","He's comfortable with Delaget, has been with them for years and just does not want to invest any time in changing. does not care about getting more money, does not want us to run an analysis for him. will have to be rebooked by an SDR","Standard","0","1","0","1","1","0","0","0","0"
"LAL Restaurant Group","Alex Reyes","Alex Reyes","LAL Restaurant Group - Tim Horton's -","Tim Horton's","New Business","No Show","0.00","","","Unknown","10/22/2025","2/26/2026","127.0000000000","Trade Show","RFDC","","","Standard","0","0","0","0","0","0","0","0","0"
"LAL Restaurant Group","Alex Reyes","Alex Reyes","LAL Restaurant Group - Popeye's Louisiana Kitchen -","Popeye's Louisiana Kitchen","New Business","No Show","0.00","","","Unknown","10/22/2025","2/26/2026","127.0000000000","Trade Show","RFDC","","","Standard","1","0","0","1","1","1","0","1","0"
"GLS Enterprises 2007 LLC - 12","Alex Reyes","Alex Reyes","GLS Enterprises 2007 LLC - 12 - McDonald's -","McDonald's","New Business","No Show","15444.00","","13","MM","10/23/2025","1/27/2026","96.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","0","0"
"Buckeye Bells","Matt Bullock","Matt Bullock","Buckeye Bells - Expansion - Taco Bell","Taco Bell","Expansion","Business Case","3600.00","","2","SMB","2/19/2026","3/31/2026","15.0000000000","","","","","Opt Out","0","0","0","0","0","0","0","1","0"
"Vertex Hospitality Group","Tyrell Belle","Tyrell Belle","Vertex Hospitality Group - 200","","New Business","New - Meeting Set","120000.00","","200","Ent","2/17/2026","3/19/2026","17.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Secret Burger Kitchen","Simon Salomon","Simon Salomon","Secret Burger Kitchen - Secret Burger Kitchen - 2","Secret Burger Kitchen","New Business","Closed Won","5976.00","","2","SMB","10/23/2025","2/19/2026","119.0000000000","Inbound","","2/19/26: - Prospect: Secret Burger Kitchen (Smash Burger franchise), 2 locations active, 3rd opening in ~45?60 days. 
- Decision-makers on call: Paul Sandhu and Mandeep; ready to proceed. 
- Needs/Pain: Rising order volume leading to more chargebacks/errors; manual dispute handling; wants tighter third?party financial visibility and automated growth on delivery channels. 
- Selected products to start (per location): Recover (dispute automation), Balance (automated bookkeeping + margin analysis), TruROI+ (automated campaigns, white-glove first 3 months). Declined Guard for now; may add later based on results. 
- Commercials discussed: Annual contract. Pricing recalled as $50/location/mo for Recover and Balance; TruROI+ at $150/location/mo. Implementation fees: $200/location for Recover/Balance; $750/location for TruROI+ (can split over 3 months). 
- Onboarding: Simon to send DocuSign EOD; after signature, CSM assigned within 1 day. Client to add 3 Loop admin users to all delivery apps for access. TruROI+ onboarding backlog starts ~Mar 1; OK with client. 
- Retro recovery: Loop will work claims within platform lookback windows (Uber/Doordash ~15?30 days). 
- Expansion: Add 3rd location to all selected products once it opens. 
- Success metrics: Expectation of 10?15% lift in 3P topline from TruROI+ (case-dependent).
10/28/25: Discussed Loop AI solutions with Secret Burger Kitchen leadership (Mandeep Sandhu, Gagan, Paul Sandhu). Their main priorities are third-party reconciliation (Balance) and automated marketing/ROI optimization (True ROI Plus); chargebacks and downtime are lower concerns unless issues grow in the future. They have experienced discrepancies in DoorDash payouts and want a clear system- and order-level reconciliation with banking data. Implementation/pricing discussed ($199?299/location/month depending on package; $750 implementation split over 3 months per location); no discounts until more locations are added. Franchise scalability is important as they are expanding. Evaluating other vendors; timeline for a decision unclear, will regroup internally and compare tech stack options during the week of Nov 17. Next follow-up scheduled for Nov 17.
10/23/25: Initial discovery call with Secret Burger Kitchen (Paul Sandhu, Mandeep Sandhu, others) regarding Loop?s third-party delivery optimization and bookkeeping solutions. Secret Burger Kitchen operates two locations in Seattle, targeting tech-forward, efficient, and user experience-driven operations, with 30% of revenue from third-party delivery. Pain points identified: financial variances?specifically ~$23k discrepancy with DoorDash in the last 45 days?and interest in automating financial reconciliation and bookkeeping. Marketing and third-party chargeback/recovery also discussed; currently using campaigns but cautious on margin erosion. Currently integrating with Otter and open to tighter visibility and automation. Scheduled follow-up demo for Tuesday at 10:30am PT to dive deeper into the Balance product and potentially other Loop modules. Strong fit on operational focus and clear need for automated reconciliation and financial clarity. Decision maker Paul Sandhu is engaged and interested in ROI-driven solutions.","","Standard","1","1","0","0","1","0","0","1","1"
"Bambu dessert Drinks","Alex Reyes","Alex Reyes","Bambu dessert Drinks - Bambu Dessert Drinks  - 33","Bambu Dessert Drinks","New Business","Disqualified","37200.00","","62","MM","10/23/2025","1/28/2026","97.0000000000","Trade Show","RFDC","","","Standard","0","0","0","1","1","0","0","0","0"
"Fieldtrip","Simon Salomon","Simon Salomon","Fieldtrip - Fieldtrip - 2","Fieldtrip","New Business","Closed Lost","2376.00","","2","SMB","10/23/2025","1/28/2026","97.0000000000","Self Sourced","","11/3/25: Adriana Johnson (Fieldtrip) is responsible for backend operations including integrations, tech, and third-party delivery for both Harlem and Rock Center locations. Third-party delivery is a significant revenue source, especially for Harlem (approx. 75-80% of orders), with Uber Eats being the dominant platform (~50% of 3rd party, followed by Grubhub and DoorDash). Adriana expressed ongoing challenges with chargebacks, store downtime, and the efficiency of marketing campaigns. Adriana is interested in Loop AI's automated tools for disputing/refunding chargebacks, minimizing store downtime, and optimizing third-party delivery marketing spend. Adriana requested emailed instructions on pulling platform error/chargeback reports, a one-pager on Loop AI, and pricing (quoted $99/location/mo for base features). Follow-up call tentatively set for Friday at 11am. Key decision criteria: automation, operational relief, direct financial impact, and integration with existing tech stack (Paperchase, Olo).","No budget and don't lose much per month on recover. Do a ton of catering","Standard","0","1","0","1","1","0","0","0","0"
"Dustin Morgan- McDonald's","Alexis Marrero","Olivia Johnson","Dustin Morgan- Mcdonald's - McDonald's -","McDonald's","New Business","Demo","9504.00","","8","SMB","10/24/2025","2/26/2026","133.0000000000","SDR","","10/24/25: Dustin Morgan (Operations Supervisor, Digital Lead, People Experience Lead) from a McDonald's franchisee with 8 restaurants (located in the OH/PA/WV tri-state area) attended. Delivery is a small percent of business (avg. 2% guest counts, 3.7% of sales), with one high-volume delivery store (~20%) using Prep Proof for chargebacks; others managed manually by Dustin. Average unit sales per store range from $2.2M?$5.5M (avg. ~$3.8M). Key pain points are low recovery from chargebacks, manual processes, frequent declines on disputes, and limited marketing returns (~$90K/yr in delivery sales). Interested in Loop?s AI-driven chargeback management, automated review responses, downtime monitoring, marketing optimization, and financial reconciliation.
Dustin is the main contact, evaluates solutions, and will present internally to ownership. Pricing, proven results, and improvement over Prep Proof critical. Dustin requested slides and a one-pager for internal review; next step will be internal discussion, with a timeline of at least 1 month for a potential decision. Follow-up in 1?2 weeks suggested. Opportunity to pilot Loop at the high-volume location if contract flexibility with Prep Proof allows.","","Standard","0","0","0","1","1","0","0","1","0"
"Red Door Brands","Alexis Marrero","Jon Van","Red Door Brands - McAlister's Deli - 5","McAlister's Deli","New Business","Closed Lost","5940.00","","5","SMB","1/9/2026","3/31/2026","81.0000000000","Self Sourced","","","ghost","Standard","0","0","0","0","0","0","0","0","0"
"Red Door Brands","Alexis Marrero","Jon Van","Red Door Brands - Del Taco - 1","Del Taco","New Business","Closed Lost","1188.00","","1","SMB","1/9/2026","3/31/2026","81.0000000000","Self Sourced","","","ghost","Standard","0","0","0","0","0","0","0","0","0"
"LV Petroleum","Alex Reyes","Tyrell Belle","LV Petroleum - 200","","New Business","Demo","237600.00","","200","Ent","10/24/2025","4/8/2026","133.0000000000","SDR","","10/24/25: LV Petroleum is a fast-growing multi-brand operator with 150+ locations and aggressive expansion plans. Jeanette Davis (SVP) is the main contact and decision maker. Major pain points include lack of specialized support for third-party delivery platform setup, significant manual workload in reconciliation (40+ hours/week), and direct losses from third-party chargebacks and refunds (1.5-2% of sales for some brands). All third-party delivery deposits are funneled into one bank account, with NetSuite and QuickBooks being used for back office/accounting. No current system to dispute/win back third-party chargebacks/refunds?losses are written off as a direct P&L hit. Jeanette is interested in Loop AI?s automation for reconciliation and chargeback recovery after ensuring all locations are properly set up on third-party platforms. Next steps: Devyn to connect Jeanette with recommended agencies for outsourced delivery platform setup; after implementation, revisit Loop AI?s core solutions for chargeback recovery, reconciliation, and marketing optimization. Pricing discussed as flat fee per location (starting $50/store, depending on selected modules). Follow up after agency introduction and initial setup progress.","","Standard","1","1","0","1","1","0","0","1","0"
"Paul Davis- Big Table Restaurants","Alexis Marrero","Olivia Johnson","Paul Davis- Big Table Restaurants - Big Table Restaurants -","Big Table Restaurants","New Business","No Show","0.00","","","Unknown","10/24/2025","2/19/2026","118.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Kelly Companies","Tyrell Belle","Tyrell Belle","Kelly Companies - 30","","New Business","New - Meeting Set","0.00","","","Unknown","12/3/2025","1/2/2026","93.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"ARGO Management","Sarra Herlich","Sarra Herlich","ARGO Management - McDonald's -","McDonald's","New Business","Demo","0.00","","","Unknown","10/24/2025","2/28/2026","133.0000000000","Outbound","","","","Standard","0","0","0","1","1","0","0","0","0"
"High Noon Restaurant Group","Alex Reyes","Nick Barbo","High Noon Restaurant Group - Popeye's Louisiana Kitchen -100","Popeye's Louisiana Kitchen","New Business","Demo","269844.00","","113","Ent","2/19/2026","5/27/2026","15.0000000000","SDR","","2/20/26: - Prospect: High Noon Restaurant Group (Popeyes) ? 113 units; goal for 2026 is top-line growth. Org is lean: IT (Jordy), CFO, CEO, Ops (VP + 3?4 RMs). RBI controls most marketing via ad fund (~4%); first local test is DoorDash Sponsored Listings starting March. Mix ~60/40 DoorDash/Uber; Grubhub low. POS: NCR Aloha until Aug; migrating to Oracle. Accounting outsourced; single bank account for all stores; limited marketplace access for accounting. Uses Checkmate (mandated) for aggregation; interested in where Loop overlaps/replaces.
- Pain points: Fraud/LP, heavy manual third-party reconciliation, black-box marketplace reporting, tax/royalty accuracy, payout variances, co-funding/attribution visibility, downtime, limited bandwidth (Jordy wears many hats).
- Loop value props resonating: Transaction-level third-party reconciliation incl. payouts, taxes (MFT automation), royalties, variances; true attribution and co-funding tracking; marketing optimization (store-level visibility, retention/conversion cohorts, budget allocation; ability to deploy campaigns at scale); full recon capability (cash/credit/1P + 3P). Interest in quantifying savings/impact and potential consolidation with Checkmate/Otter.
- Pricing guidance shared: Modular; approx $25?$199 per location per month; target 6?8x ROI; no revenue share. Offered one-time complimentary data ingestion to quantify leakage, downtime losses, and marketing headroom for CFO/CEO.
- Next steps: Alex to send follow-up with one-pager/whitepaper, case studies (e.g., Dave?s), pricing packaging, overlap analysis vs Checkmate/Otter, and proposal for complimentary data analysis. Jordy to brief Ops and Finance; broader meeting likely after High Noon internal conference (Mar 9?11). Consider scheduling post-conference exec review.","","Standard","0","0","0","0","0","0","0","0","0"
"Trident Holdings LLC","Alex Reyes","Tyrell Belle","Trident Holdings LLC - Captain D's - 50","Captain D's Seafood Kitchen","New Business","Closed Won","48000.00","","50","MM","10/27/2025","1/11/2026","76.0000000000","SDR","","12/1/25: Discovery call with Trident Holdings LLC (Captain D's), main stakeholders present: Tim Stokes, Chris Benner, and Carrie. Discussion focused on challenges with third-party delivery revenue, reconciliation, missing funds (notably a $30K unresolved Postmates shortfall), and overpayments on taxes and royalties due to lack of granular reconciliation and reporting. Accounting is fully outsourced to Quattro, who uses Great Plains and has limited/no direct integrations with restaurant systems.
Current invoice/payment recovery through InfoSync has been error-prone and is providing low visibility; Trident has not paid recent invoices due to incorrect billing. Client desires a tool that automates reconciling 3rd party sales, taxes, and refunds, surfaces margin/profitability by location, and recovers disputed/erroneous funds at scale.
Requested Loop AI to send a proposal mirroring the Freddy?s deployment (modules: recovery, downtime reactivation, reconciliation), with reference contact at Freddy?s (Sean Thompson, VP of Technology). Pricing discussed as $50/module/location for recovery and reconciliation. Client indicated urgency to solve overpayments and gain true financial clarity on rising delivery channel, which is now ~$4M/year for their system. Next step: send proposal detailing solution, modules, costs, and Freddy?s reference.
11/26/25: Initial discovery/demo call with Christopher Benner (Trident Holdings LLC, franchisee for Captain D?s, Freddy?s, Slim Chickens). Christopher is currently using InfoSync for 3rd party delivery recoveries but is dissatisfied due to poor communication, ongoing billing errors (including being billed for stores he doesn?t own), and lack of responsiveness. InfoSync is still performing services despite nonpayment for several months.
Key pain points:
- Missing third-party funds (e.g., $30k owed by Postmates), with reconciliation challenges and lack of clarity from current accounting agency (Quattro) and InfoSync.
- Concerns about sales tax accuracy, reconciliation, and profit margins from third-party delivery, specifically raised by their CFO (Tim Stokes).
- Minimal internal resources/staff capacity for third-party management (only two owners + a small accounting/admin team).
- No current marketing spend on 3PD platforms; Captain D?s not running many platform promos, but Slim Chickens likely is.
- Christopher is a heavy user of delivery apps himself, but his CFO is not.
Decision makers: CFO (Tim Stokes) and manager for third-party (Carrie Stokes) to be invited to a follow-up demo/working session, tentatively scheduled for Monday, 4pm Central.
Key opportunity points:
- Loop AI can provide automated recoveries, reconciliation, real-time variance alerts, operational reporting, and margin analysis.
- Differentiator: Loop AI uses a technology-driven, subscription model ($99/store/month for full service), not a revenue share on recovered funds.
- Positive references/experience with other brands like Freddy?s (corporate and franchisees), Whataburger, Dave?s Hot Chicken.
Next steps: Follow-up call with Tim Stokes (CFO) and Carrie Stokes (manager), focusing on sales tax, reconciliation, missing payments, and full visibility/reporting to address current pain points and decision-maker concerns.","","Opt Out","1","0","0","0","1","0","0","0","0"
"Trident Holdings LLC","Alex Reyes","Alex Reyes","Trident Chicken LLC - Slim Chicken - 8","Slim Chicken","New Business","Closed Won","4800.00","","8","SMB","1/8/2026","1/11/2026","3.0000000000","SDR","","12/1/25: Discovery call with Trident Holdings LLC (Captain D's), main stakeholders present: Tim Stokes, Chris Benner, and Carrie. Discussion focused on challenges with third-party delivery revenue, reconciliation, missing funds (notably a $30K unresolved Postmates shortfall), and overpayments on taxes and royalties due to lack of granular reconciliation and reporting. Accounting is fully outsourced to Quattro, who uses Great Plains and has limited/no direct integrations with restaurant systems.
Current invoice/payment recovery through InfoSync has been error-prone and is providing low visibility; Trident has not paid recent invoices due to incorrect billing. Client desires a tool that automates reconciling 3rd party sales, taxes, and refunds, surfaces margin/profitability by location, and recovers disputed/erroneous funds at scale.
Requested Loop AI to send a proposal mirroring the Freddy?s deployment (modules: recovery, downtime reactivation, reconciliation), with reference contact at Freddy?s (Sean Thompson, VP of Technology). Pricing discussed as $50/module/location for recovery and reconciliation. Client indicated urgency to solve overpayments and gain true financial clarity on rising delivery channel, which is now ~$4M/year for their system. Next step: send proposal detailing solution, modules, costs, and Freddy?s reference.
11/26/25: Initial discovery/demo call with Christopher Benner (Trident Holdings LLC, franchisee for Captain D?s, Freddy?s, Slim Chickens). Christopher is currently using InfoSync for 3rd party delivery recoveries but is dissatisfied due to poor communication, ongoing billing errors (including being billed for stores he doesn?t own), and lack of responsiveness. InfoSync is still performing services despite nonpayment for several months.
Key pain points:
- Missing third-party funds (e.g., $30k owed by Postmates), with reconciliation challenges and lack of clarity from current accounting agency (Quattro) and InfoSync.
- Concerns about sales tax accuracy, reconciliation, and profit margins from third-party delivery, specifically raised by their CFO (Tim Stokes).
- Minimal internal resources/staff capacity for third-party management (only two owners + a small accounting/admin team).
- No current marketing spend on 3PD platforms; Captain D?s not running many platform promos, but Slim Chickens likely is.
- Christopher is a heavy user of delivery apps himself, but his CFO is not.
Decision makers: CFO (Tim Stokes) and manager for third-party (Carrie Stokes) to be invited to a follow-up demo/working session, tentatively scheduled for Monday, 4pm Central.
Key opportunity points:
- Loop AI can provide automated recoveries, reconciliation, real-time variance alerts, operational reporting, and margin analysis.
- Differentiator: Loop AI uses a technology-driven, subscription model ($99/store/month for full service), not a revenue share on recovered funds.
- Positive references/experience with other brands like Freddy?s (corporate and franchisees), Whataburger, Dave?s Hot Chicken.
Next steps: Follow-up call with Tim Stokes (CFO) and Carrie Stokes (manager), focusing on sales tax, reconciliation, missing payments, and full visibility/reporting to address current pain points and decision-maker concerns.","","Opt Out","1","0","0","0","1","0","0","0","0"
"Trident Holdings LLC","Alex Reyes","Alex Reyes","Trident Burger LLC - Freddy's - 6","Freddy's","New Business","Closed Won","3600.00","","6","SMB","1/8/2026","1/11/2026","3.0000000000","SDR","","12/1/25: Discovery call with Trident Holdings LLC (Captain D's), main stakeholders present: Tim Stokes, Chris Benner, and Carrie. Discussion focused on challenges with third-party delivery revenue, reconciliation, missing funds (notably a $30K unresolved Postmates shortfall), and overpayments on taxes and royalties due to lack of granular reconciliation and reporting. Accounting is fully outsourced to Quattro, who uses Great Plains and has limited/no direct integrations with restaurant systems.
Current invoice/payment recovery through InfoSync has been error-prone and is providing low visibility; Trident has not paid recent invoices due to incorrect billing. Client desires a tool that automates reconciling 3rd party sales, taxes, and refunds, surfaces margin/profitability by location, and recovers disputed/erroneous funds at scale.
Requested Loop AI to send a proposal mirroring the Freddy?s deployment (modules: recovery, downtime reactivation, reconciliation), with reference contact at Freddy?s (Sean Thompson, VP of Technology). Pricing discussed as $50/module/location for recovery and reconciliation. Client indicated urgency to solve overpayments and gain true financial clarity on rising delivery channel, which is now ~$4M/year for their system. Next step: send proposal detailing solution, modules, costs, and Freddy?s reference.
11/26/25: Initial discovery/demo call with Christopher Benner (Trident Holdings LLC, franchisee for Captain D?s, Freddy?s, Slim Chickens). Christopher is currently using InfoSync for 3rd party delivery recoveries but is dissatisfied due to poor communication, ongoing billing errors (including being billed for stores he doesn?t own), and lack of responsiveness. InfoSync is still performing services despite nonpayment for several months.
Key pain points:
- Missing third-party funds (e.g., $30k owed by Postmates), with reconciliation challenges and lack of clarity from current accounting agency (Quattro) and InfoSync.
- Concerns about sales tax accuracy, reconciliation, and profit margins from third-party delivery, specifically raised by their CFO (Tim Stokes).
- Minimal internal resources/staff capacity for third-party management (only two owners + a small accounting/admin team).
- No current marketing spend on 3PD platforms; Captain D?s not running many platform promos, but Slim Chickens likely is.
- Christopher is a heavy user of delivery apps himself, but his CFO is not.
Decision makers: CFO (Tim Stokes) and manager for third-party (Carrie Stokes) to be invited to a follow-up demo/working session, tentatively scheduled for Monday, 4pm Central.
Key opportunity points:
- Loop AI can provide automated recoveries, reconciliation, real-time variance alerts, operational reporting, and margin analysis.
- Differentiator: Loop AI uses a technology-driven, subscription model ($99/store/month for full service), not a revenue share on recovered funds.
- Positive references/experience with other brands like Freddy?s (corporate and franchisees), Whataburger, Dave?s Hot Chicken.
Next steps: Follow-up call with Tim Stokes (CFO) and Carrie Stokes (manager), focusing on sales tax, reconciliation, missing payments, and full visibility/reporting to address current pain points and decision-maker concerns.","","Opt Out","1","0","0","0","1","0","0","0","0"
